Date,month,year,NAV,Amount_Invested,Units_Bought,,Day_of_Month,Occurrences,Total_Units_Bought,Avg_Units_Per_Occurrence
26,11,2024,172.969,2000,11.5628,,,,,
27,11,2024,174.7623,2000,11.4441,,,,,
28,11,2024,174.9567,2000,11.4314,,,,,
29,11,2024,176.0509,2000,11.3604,,,,,
2,12,2024,177.2085,2000,11.2861,,,,,
3,12,2024,178.5132,2000,11.2037,,,,,
4,12,2024,179.2648,2000,11.1567,,,,,
5,12,2024,179.9312,2000,11.1154,,,,,
6,12,2024,180.917,2000,11.0548,,,,,
9,12,2024,181.4706,2000,11.0211,,,,,
10,12,2024,182.1737,2000,10.9785,,,,,
11,12,2024,182.738,2000,10.9446,,,,,
12,12,2024,181.3026,2000,11.0313,,,,,
13,12,2024,181.0106,2000,11.0491,,,,,
16,12,2024,181.9188,2000,10.9939,,,,,
17,12,2024,180.6312,2000,11.0723,,,,,
18,12,2024,179.5017,2000,11.142,,,,,
19,12,2024,179.0441,2000,11.1704,,,,,
20,12,2024,175.1493,2000,11.4188,,,,,
23,12,2024,174.0821,2000,11.4888,,,,,
24,12,2024,174.5509,2000,11.458,,,,,
26,12,2024,174.1837,2000,11.4821,,,,,
27,12,2024,174.5861,2000,11.4557,,,,,
30,12,2024,173.4204,2000,11.5327,,,,,
31,12,2024,174.6142,2000,11.4538,,,,,
1,1,2025,175.8569,2000,11.3729,,,,,
2,1,2025,176.9282,2000,11.304,,,,,
3,1,2025,176.534,2000,11.3293,,,,,
6,1,2025,171.6373,2000,11.6525,,,,,
7,1,2025,174.1755,2000,11.4827,,,,,
8,1,2025,171.8004,2000,11.6414,,,,,
9,1,2025,170.168,2000,11.7531,,,,,
10,1,2025,166.728,2000,11.9956,,,,,
13,1,2025,160.4127,2000,12.4678,,,,,
14,1,2025,162.7919,2000,12.2856,,,,,
15,1,2025,163.7674,2000,12.2124,,,,,
16,1,2025,165.5945,2000,12.0777,,,,,
17,1,2025,165.5751,2000,12.0791,,,,,
20,1,2025,166.3731,2000,12.0212,,,,,
21,1,2025,163.3217,2000,12.2458,,,,,
22,1,2025,161.1493,2000,12.4109,,,,,
23,1,2025,162.2694,2000,12.3252,,,,,
24,1,2025,158.6367,2000,12.6074,,,,,
27,1,2025,154.266,2000,12.9646,,,,,
28,1,2025,151.6648,2000,13.187,,,,,
